Atomic #,Element Symbol,K_alpha (KeV),K_beta (KeV),M_alpha (KeV),M_beta (KeV),L_alpha (KeV),L_beta (KeV)
1,H,0,0,0,0,0,0
2,He,0,0,0,0,0,0
3,Li,0,0,0,0,0,0
4,Be,0,0,0,0,0,0
5,Be,0,0,0,0,0,0
6,C,0,0,0,0,0,0
7,N,0,0,0,0,0,0
8,O,0,0,0,0,0,0
9,F,0,0,0,0,0,0
10,Ne,0,0,0,0,0,0
11,Na,1.041,0,0,0,0,0
12,Mg,1.254,0,0,0,0,0
13,Al,1.487,0,0,0,0,0
14,Si,1.74,1.838,0,0,0,0
15,P,2.015,2.142,0,0,0,0
16,S,2.307,2.468,0,0,0,0
17,Cl,2.622,2.817,0,0,0,0
18,Ar,2.957,3.191,0,0,0,0
19,K,3.312,3.589,0,0,0,0
20,Ca,3.69,4.012,0,0,0,0
21,Sc,4.088,4.459,0,0,0,0
22,Ti,4.508,4.931,0,0,0,0
23,V,4.949,5.427,0,0,0,0
24,Cr,5.411,5.947,0,0,0,0
25,Mn,5.895,6.492,0,0,0,0
26,Fe,6.4,7.059,0,0,0,0
27,Co,6.925,7.649,0,0,0,0
28,Ni,7.472,8.265,0,0,0,0
29,Cu,8.041,8.907,0,0,0,0
30,Zn,8.631,9.572,0,0,0,0
31,Ga,9.243,10.263,0,0,1.096,1.122
32,Ge,9.876,10.984,0,0,1.186,1.216
33,As,10.532,11.729,0,0,1.282,1.317
34,Se,11.21,12.501,0,0,1.379,1.419
35,Br,11.907,13.296,0,0,1.48,1.526
36,Kr,12.63,14.12,0,0,1.587,1.638
37,Rb,13.375,14.971,0,0,1.694,1.752
38,Sr,14.142,15.849,0,0,1.806,1.872
39,Y,14.933,16.754,0,0,1.922,1.996
40,Zr,15.746,17.687,0,0,2.042,2.124
41,Nb,16.584,18.647,0,0,2.166,2.257
42,Mo,17.443,19.633,0,0,2.293,2.395
43,Tc,18.327,20.647,0,0,2.424,2.538
44,Ru,19.235,21.687,0,0,2.558,2.683
45,Rh,20.167,22.759,0,0,2.696,2.834
46,Pd,21.123,23.859,0,0,2.828,2.99
47,Ag,22.104,24.987,0,0,2.984,3.151
48,Cd,23.109,26.143,0,0,3.133,3.316
49,In,24.139,27.382,0,0,3.287,3.487
50,Sn,25.193,28.601,0,0,3.444,3.662
51,Sb,26.274,29.851,0,0,3.605,3.843
52,Te,27.38,31.128,0,0,3.769,4.029
53,I,28.512,32.437,0,0,3.937,4.22
54,Xe,29.669,33.777,0,0,4.111,4.442
55,Cs,30.854,35.149,0,0,4.286,4.62
56,Ba,32.065,36.553,0,0,4.467,4.828
57,La,33.302,37.986,0,0,4.651,5.043
58,Ce,34.569,39.453,0,0,4.84,5.262
59,Pr,35.864,40.953,0,0,5.034,5.489
60,Nd,37.185,42.484,0,0,5.23,5.722
61,Pm,38.535,44.049,0,0,5.431,5.956
62,Sm,39.914,45.649,1.081,1.1,5.636,6.206
63,Eu,41.323,47.283,1.131,1.153,5.846,6.456
64,Gd,42.761,48.949,1.185,1.209,6.059,6.714
65,Tb,44.229,50.65,1.24,1.266,6.275,6.979
66,Dy,45.728,52.384,1.293,1.325,6.495,7.249
67,Ho,47.257,54.155,1.348,1.383,6.72,7.528
68,Er,48.818,55.963,1.406,1.443,6.948,7.81
69,Tm,50.41,57.806,1.462,1.503,7.181,8.103
70,Yb,52.035,59.687,1.521,1.568,7.414,8.401
71,Lu,53.693,61.607,1.581,1.631,7.654,8.708
72,Hf,55.382,63.562,1.645,1.698,7.898,9.021
73,Ta,57.106,65.556,1.71,1.766,8.145,9.341
74,W,58.854,67.586,1.775,1.835,8.396,9.67
75,Re,60.655,69.659,1.843,1.906,8.651,10.008
76,Os,62.482,71.775,1.91,1.978,8.91,10.354
77,Ir,64.346,73.993,1.98,2.054,9.173,10.706
78,Pt,66.246,76.131,2.051,2.127,9.441,11.069
79,Au,68.185,78.373,2.123,2.205,9.711,11.439
80,Hg,70.16,80.656,2.195,2.283,9.987,11.823
81,Tl,72.176,82.985,2.271,2.362,10.266,12.21
82,Pb,74.228,85.357,2.346,2.443,10.549,12.611
83,Bi,76.321,87.774,2.423,2.526,10.836,13.021
84,Po,78.46,90.243,0,0,11.128,13.441
85,At,80.636,92.754,0,0,11.424,13.873
86,Rn,82.855,95.315,0,0,11.724,14.316
87,Fr,85.124,97.93,0,0,12.029,14.77
88,Ra,87.437,100.593,0,0,12.338,15.233
89,Ac,89.79,103.31,0,0,12.65,15.712
90,Th,92.19,106.077,2.996,3.146,12.966,16.2
91,Pa,94.643,108.906,3.082,3.239,13.291,16.7
92,U,97.143,111.786,3.171,3.337,13.613,17.218
93,Np,99.693,114.72,0,0,13.945,17.74
94,Pu,102.295,117.716,0,0,14.279,18.278
95,Am,104.952,120.775,0,0,14.618,18.829
96,Cm,107.67,123.903,0,0,14.961,19.393
97,Bk,110.45,127.102,0,0,15.309,19.971
98,Cf,113.298,130.377,0,0,15.661,20.562
99,Es,116.217,133.73,0,0,16.018,21.166
100,Fm,119.21,137.167,0,0,16.379,21.785
